datetime,water_level
5/6/2016,138.548
5/7/2016,138.5545185
5/8/2016,138.561037
5/9/2016,138.5675556
5/10/2016,138.5740741
5/11/2016,138.5805926
5/12/2016,138.5871111
5/13/2016,138.5936296
5/14/2016,138.6001481
5/15/2016,138.6066667
5/16/2016,138.6131852
5/17/2016,138.6197037
5/18/2016,138.6262222
5/19/2016,138.6327407
5/20/2016,138.6392593
5/21/2016,138.6457778
5/22/2016,138.6522963
5/23/2016,138.6588148
5/24/2016,138.6653333
5/25/2016,138.6718519
5/26/2016,138.6783704
5/27/2016,138.6848889
5/28/2016,138.6914074
5/29/2016,138.6979259
5/30/2016,138.7044444
5/31/2016,138.710963
6/1/2016,138.7174815
6/2/2016,138.724
6/3/2016,138.7915556
6/4/2016,138.8591111
6/5/2016,138.9266667
6/6/2016,138.9942222
6/7/2016,139.0617778
6/8/2016,139.1293333
6/9/2016,139.1968889
6/10/2016,139.2644444
6/11/2016,139.332
6/12/2016,139.3995556
6/13/2016,139.4671111
6/14/2016,139.5346667
6/15/2016,139.6022222
6/16/2016,139.6697778
6/17/2016,139.7373333
6/18/2016,139.8048889
6/19/2016,139.8724444
6/20/2016,139.94
6/21/2016,140.0075556
6/22/2016,140.0751111
6/23/2016,140.1426667
6/24/2016,140.2102222
6/25/2016,140.2777778
6/26/2016,140.3453333
6/27/2016,140.4128889
6/28/2016,140.4804444
6/29/2016,140.548
6/30/2016,140.5436852
7/1/2016,140.5393704
7/2/2016,140.5350556
7/3/2016,140.5307407
7/4/2016,140.5264259
7/5/2016,140.5221111
7/6/2016,140.5177963
7/7/2016,140.5134815
7/8/2016,140.5091667
7/9/2016,140.5048519
7/10/2016,140.500537
7/11/2016,140.4962222
7/12/2016,140.4919074
7/13/2016,140.4875926
7/14/2016,140.4832778
7/15/2016,140.478963
7/16/2016,140.4746481
7/17/2016,140.4703333
7/18/2016,140.4660185
7/19/2016,140.4617037
7/20/2016,140.4573889
7/21/2016,140.4530741
7/22/2016,140.4487593
7/23/2016,140.4444444
7/24/2016,140.4401296
7/25/2016,140.4358148
7/26/2016,140.4315
7/27/2016,140.4271852
7/28/2016,140.4228704
7/29/2016,140.4185556
7/30/2016,140.4142407
7/31/2016,140.4099259
8/1/2016,140.4056111
8/2/2016,140.4012963
8/3/2016,140.3969815
8/4/2016,140.3926667
8/5/2016,140.3883519
8/6/2016,140.384037
8/7/2016,140.3797222
8/8/2016,140.3754074
8/9/2016,140.3710926
8/10/2016,140.3667778
8/11/2016,140.362463
8/12/2016,140.3581481
8/13/2016,140.3538333
8/14/2016,140.3495185
8/15/2016,140.3452037
8/16/2016,140.3408889
8/17/2016,140.3365741
8/18/2016,140.3322593
8/19/2016,140.3279444
8/20/2016,140.3236296
8/21/2016,140.3193148
8/22/2016,140.315
8/23/2016,140.3028519
8/24/2016,140.2907037
