datetime,water_level
6/4/2016,227.113
6/5/2016,227.1364444
6/6/2016,227.1598889
6/7/2016,227.1833333
6/8/2016,227.2067778
6/9/2016,227.2302222
6/10/2016,227.2536667
6/11/2016,227.2771111
6/12/2016,227.3005556
6/13/2016,227.324
6/14/2016,227.3474444
6/15/2016,227.3708889
6/16/2016,227.3943333
6/17/2016,227.4177778
6/18/2016,227.4412222
6/19/2016,227.4646667
6/20/2016,227.4881111
6/21/2016,227.5115556
6/22/2016,227.535
6/23/2016,227.5584444
6/24/2016,227.5818889
6/25/2016,227.6053333
6/26/2016,227.6287778
6/27/2016,227.6522222
6/28/2016,227.6756667
6/29/2016,227.6991111
6/30/2016,227.7225556
7/1/2016,227.746
7/2/2016,227.7527407
7/3/2016,227.7594815
7/4/2016,227.7662222
7/5/2016,227.772963
7/6/2016,227.7797037
7/7/2016,227.7864444
7/8/2016,227.7931852
7/9/2016,227.7999259
7/10/2016,227.8066667
7/11/2016,227.8134074
7/12/2016,227.8201481
7/13/2016,227.8268889
7/14/2016,227.8336296
7/15/2016,227.8403704
7/16/2016,227.8471111
7/17/2016,227.8538519
7/18/2016,227.8605926
7/19/2016,227.8673333
7/20/2016,227.8740741
7/21/2016,227.8808148
7/22/2016,227.8875556
7/23/2016,227.8942963
7/24/2016,227.901037
7/25/2016,227.9077778
7/26/2016,227.9145185
7/27/2016,227.9212593
7/28/2016,227.928
7/29/2016,227.9436667
7/30/2016,227.9593333
7/31/2016,227.975
8/1/2016,227.9906667
8/2/2016,228.0063333
8/3/2016,228.022
8/4/2016,228.0376667
8/5/2016,228.0533333
8/6/2016,228.069
8/7/2016,228.0846667
8/8/2016,228.1003333
8/9/2016,228.116
8/10/2016,228.1316667
8/11/2016,228.1473333
8/12/2016,228.163
8/13/2016,228.1786667
8/14/2016,228.1943333
8/15/2016,228.21
8/16/2016,228.2256667
8/17/2016,228.2413333
8/18/2016,228.257
8/19/2016,228.2726667
8/20/2016,228.2883333
8/21/2016,228.304
8/22/2016,228.3196667
8/23/2016,228.3353333
8/24/2016,228.351
8/25/2016,228.3246667
8/26/2016,228.2983333
8/27/2016,228.272
8/28/2016,228.2456667
8/29/2016,228.2193333
8/30/2016,228.193
8/31/2016,228.1666667
9/1/2016,228.1403333
9/2/2016,228.114
9/3/2016,228.0876667
9/4/2016,228.0613333
9/5/2016,228.035
9/6/2016,228.0086667
9/7/2016,227.9823333
9/8/2016,227.956
9/9/2016,227.9296667
9/10/2016,227.9033333
9/11/2016,227.877
9/12/2016,227.8506667
9/13/2016,227.8243333
9/14/2016,227.798
9/15/2016,227.7716667
9/16/2016,227.7453333
9/17/2016,227.719
9/18/2016,227.6926667
9/19/2016,227.6663333
9/20/2016,227.64
9/21/2016,227.6418889
9/22/2016,227.6437778
9/23/2016,227.6456667
9/24/2016,227.6475556
9/25/2016,227.6494444
9/26/2016,227.6513333
9/27/2016,227.6532222
9/28/2016,227.6551111
9/29/2016,227.657
9/30/2016,227.6588889
10/1/2016,227.6607778
10/2/2016,227.6626667
10/3/2016,227.6645556
10/4/2016,227.6664444
10/5/2016,227.6683333
10/6/2016,227.6702222
10/7/2016,227.6721111
10/8/2016,227.674
10/9/2016,227.6758889
10/10/2016,227.6777778
10/11/2016,227.6796667
10/12/2016,227.6815556
10/13/2016,227.6834444
10/14/2016,227.6853333
10/15/2016,227.6872222
10/16/2016,227.6891111
10/17/2016,227.691
10/18/2016,227.7076296
10/19/2016,227.7242593
10/20/2016,227.7408889
10/21/2016,227.7575185
10/22/2016,227.7741481
10/23/2016,227.7907778
10/24/2016,227.8074074
10/25/2016,227.824037
10/26/2016,227.8406667
10/27/2016,227.8572963
10/28/2016,227.8739259
10/29/2016,227.8905556
10/30/2016,227.9071852
10/31/2016,227.9238148
11/1/2016,227.9404444
11/2/2016,227.9570741
11/3/2016,227.9737037
11/4/2016,227.9903333
11/5/2016,228.006963
11/6/2016,228.0235926
11/7/2016,228.0402222
11/8/2016,228.0568519
11/9/2016,228.0734815
11/10/2016,228.0901111
11/11/2016,228.1067407
11/12/2016,228.1233704
11/13/2016,228.14
11/14/2016,228.1200741
11/15/2016,228.1001481
11/16/2016,228.0802222
11/17/2016,228.0602963
11/18/2016,228.0403704
11/19/2016,228.0204444
11/20/2016,228.0005185
11/21/2016,227.9805926
11/22/2016,227.9606667
11/23/2016,227.9407407
11/24/2016,227.9208148
11/25/2016,227.9008889
11/26/2016,227.880963
11/27/2016,227.861037
11/28/2016,227.8411111
11/29/2016,227.8211852
11/30/2016,227.8012593
12/1/2016,227.7813333
12/2/2016,227.7614074
12/3/2016,227.7414815
12/4/2016,227.7215556
12/5/2016,227.7016296
12/6/2016,227.6817037
12/7/2016,227.6617778
12/8/2016,227.6418519
12/9/2016,227.6219259
12/10/2016,227.602
12/11/2016,227.597
12/12/2016,227.592
12/13/2016,227.587
12/14/2016,227.582
12/15/2016,227.577
12/16/2016,227.572
12/17/2016,227.567
12/18/2016,227.562
12/19/2016,227.557
12/20/2016,227.552
12/21/2016,227.547
12/22/2016,227.542
12/23/2016,227.537
12/24/2016,227.532
12/25/2016,227.527
12/26/2016,227.522
12/27/2016,227.517
12/28/2016,227.512
12/29/2016,227.507
12/30/2016,227.502
12/31/2016,227.497
1/1/2017,227.492
1/2/2017,227.487
1/3/2017,227.482
1/4/2017,227.477
1/5/2017,227.472
1/6/2017,227.467
1/7/2017,227.4788519
1/8/2017,227.4907037
1/9/2017,227.5025556
1/10/2017,227.5144074
1/11/2017,227.5262593
1/12/2017,227.5381111
1/13/2017,227.549963
1/14/2017,227.5618148
1/15/2017,227.5736667
1/16/2017,227.5855185
1/17/2017,227.5973704
1/18/2017,227.6092222
1/19/2017,227.6210741
1/20/2017,227.6329259
1/21/2017,227.6447778
1/22/2017,227.6566296
1/23/2017,227.6684815
1/24/2017,227.6803333
1/25/2017,227.6921852
1/26/2017,227.704037
1/27/2017,227.7158889
1/28/2017,227.7277407
1/29/2017,227.7395926
1/30/2017,227.7514444
1/31/2017,227.7632963
2/1/2017,227.7751481
2/2/2017,227.787
2/3/2017,227.7903704
2/4/2017,227.7937407
2/5/2017,227.7971111
2/6/2017,227.8004815
2/7/2017,227.8038519
2/8/2017,227.8072222
2/9/2017,227.8105926
2/10/2017,227.813963
2/11/2017,227.8173333
2/12/2017,227.8207037
2/13/2017,227.8240741
2/14/2017,227.8274444
2/15/2017,227.8308148
2/16/2017,227.8341852
2/17/2017,227.8375556
2/18/2017,227.8409259
2/19/2017,227.8442963
2/20/2017,227.8476667
2/21/2017,227.851037
2/22/2017,227.8544074
2/23/2017,227.8577778
2/24/2017,227.8611481
2/25/2017,227.8645185
2/26/2017,227.8678889
2/27/2017,227.8712593
2/28/2017,227.8746296
3/1/2017,227.878
3/2/2017,227.8737407
3/3/2017,227.8694815
3/4/2017,227.8652222
3/5/2017,227.860963
3/6/2017,227.8567037
3/7/2017,227.8524444
3/8/2017,227.8481852
3/9/2017,227.8439259
