datetime,water_level
12/19/2018,89.465
12/20/2018,89.44622222
12/21/2018,89.42744444
12/22/2018,89.40866667
12/23/2018,89.38988889
12/24/2018,89.37111111
12/25/2018,89.35233333
12/26/2018,89.33355556
12/27/2018,89.31477778
12/28/2018,89.296
12/29/2018,89.27722222
12/30/2018,89.25844444
12/31/2018,89.23966667
1/1/2019,89.22088889
1/2/2019,89.20211111
1/3/2019,89.18333333
1/4/2019,89.16455556
1/5/2019,89.14577778
1/6/2019,89.127
1/7/2019,89.10822222
1/8/2019,89.08944444
1/9/2019,89.07066667
1/10/2019,89.05188889
1/11/2019,89.03311111
1/12/2019,89.01433333
1/13/2019,88.99555556
1/14/2019,88.97677778
1/15/2019,88.958
1/16/2019,88.95255556
1/17/2019,88.94711111
1/18/2019,88.94166667
1/19/2019,88.93622222
1/20/2019,88.93077778
1/21/2019,88.92533333
1/22/2019,88.91988889
1/23/2019,88.91444444
1/24/2019,88.909
1/25/2019,88.90355556
1/26/2019,88.89811111
1/27/2019,88.89266667
1/28/2019,88.88722222
1/29/2019,88.88177778
1/30/2019,88.87633333
1/31/2019,88.87088889
2/1/2019,88.86544444
2/2/2019,88.86
2/3/2019,88.85455556
2/4/2019,88.84911111
2/5/2019,88.84366667
2/6/2019,88.83822222
2/7/2019,88.83277778
2/8/2019,88.82733333
2/9/2019,88.82188889
2/10/2019,88.81644444
2/11/2019,88.811
2/12/2019,88.82337037
2/13/2019,88.83574074
2/14/2019,88.84811111
2/15/2019,88.86048148
2/16/2019,88.87285185
2/17/2019,88.88522222
2/18/2019,88.89759259
2/19/2019,88.90996296
2/20/2019,88.92233333
2/21/2019,88.9347037
2/22/2019,88.94707407
2/23/2019,88.95944444
2/24/2019,88.97181481
2/25/2019,88.98418519
2/26/2019,88.99655556
2/27/2019,89.00892593
2/28/2019,89.0212963
3/1/2019,89.03366667
3/2/2019,89.04603704
3/3/2019,89.05840741
3/4/2019,89.07077778
3/5/2019,89.08314815
3/6/2019,89.09551852
3/7/2019,89.10788889
3/8/2019,89.12025926
3/9/2019,89.13262963
3/10/2019,89.145
3/11/2019,89.13325926
3/12/2019,89.12151852
3/13/2019,89.10977778
3/14/2019,89.09803704
3/15/2019,89.0862963
3/16/2019,89.07455556
3/17/2019,89.06281481
3/18/2019,89.05107407
3/19/2019,89.03933333
3/20/2019,89.02759259
3/21/2019,89.01585185
3/22/2019,89.00411111
3/23/2019,88.99237037
3/24/2019,88.98062963
3/25/2019,88.96888889
3/26/2019,88.95714815
3/27/2019,88.94540741
3/28/2019,88.93366667
3/29/2019,88.92192593
3/30/2019,88.91018519
3/31/2019,88.89844444
4/1/2019,88.8867037
4/2/2019,88.87496296
4/3/2019,88.86322222
4/4/2019,88.85148148
4/5/2019,88.83974074
4/6/2019,88.828
4/7/2019,88.83396296
4/8/2019,88.83992593
4/9/2019,88.84588889
4/10/2019,88.85185185
4/11/2019,88.85781481
4/12/2019,88.86377778
4/13/2019,88.86974074
4/14/2019,88.8757037
4/15/2019,88.88166667
4/16/2019,88.88762963
4/17/2019,88.89359259
4/18/2019,88.89955556
4/19/2019,88.90551852
4/20/2019,88.91148148
4/21/2019,88.91744444
4/22/2019,88.92340741
4/23/2019,88.92937037
4/24/2019,88.93533333
4/25/2019,88.9412963
4/26/2019,88.94725926
4/27/2019,88.95322222
4/28/2019,88.95918519
4/29/2019,88.96514815
4/30/2019,88.97111111
5/1/2019,88.97707407
5/2/2019,88.98303704
5/3/2019,88.989
5/4/2019,89.00222222
5/5/2019,89.01544444
5/6/2019,89.02866667
5/7/2019,89.04188889
5/8/2019,89.05511111
5/9/2019,89.06833333
5/10/2019,89.08155556
5/11/2019,89.09477778
5/12/2019,89.108
5/13/2019,89.12122222
5/14/2019,89.13444444
5/15/2019,89.14766667
5/16/2019,89.16088889
5/17/2019,89.17411111
5/18/2019,89.18733333
5/19/2019,89.20055556
5/20/2019,89.21377778
5/21/2019,89.227
5/22/2019,89.24022222
5/23/2019,89.25344444
5/24/2019,89.26666667
5/25/2019,89.27988889
5/26/2019,89.29311111
5/27/2019,89.30633333
5/28/2019,89.31955556
5/29/2019,89.33277778
5/30/2019,89.346
5/31/2019,89.3377037
6/1/2019,89.32940741
6/2/2019,89.32111111
6/3/2019,89.31281481
6/4/2019,89.30451852
6/5/2019,89.29622222
6/6/2019,89.28792593
6/7/2019,89.27962963
6/8/2019,89.27133333
6/9/2019,89.26303704
6/10/2019,89.25474074
6/11/2019,89.24644444
6/12/2019,89.23814815
6/13/2019,89.22985185
6/14/2019,89.22155556
6/15/2019,89.21325926
6/16/2019,89.20496296
6/17/2019,89.19666667
6/18/2019,89.18837037
6/19/2019,89.18007407
6/20/2019,89.17177778
